Day number,emptyCells,mostCommonGenotype,animalEnergy,ageOfAliveAnimals,ageOfDeadAnimals,Animal count,Plant count
0,36,6606606,0,0,0,7,7
1,29,6606606,6,1,0,7,13
2,28,6606606,6,2,0,7,17
3,24,6606606,8,3,0,8,22
4,20,6606606,8,4,0,9,25
5,20,6606606,9,4,0,10,27
6,14,6606606,11,5,0,10,29
7,12,6606606,13,6,0,10,31
8,10,6606606,16,7,0,10,33
9,9,6606606,18,8,0,12,34
10,11,6606606,18,8,0,13,33
11,12,6606606,20,8,0,14,32
12,13,6606606,21,8,0,15,30
13,12,6606606,23,9,0,16,29
14,11,6606606,24,9,0,17,31
15,9,6477761,25,9,14,17,31
16,10,6477761,26,10,14,20,30
17,13,6477761,24,9,14,22,26
18,13,6477761,24,10,14,26,26
19,15,6477761,21,9,14,27,18
20,14,6477761,23,10,14,29,17
21,15,6477761,23,10,14,31,19
22,12,6477761,21,10,14,33,16
23,16,6477761,21,11,14,41,15
24,15,6477761,18,10,12,44,13
25,14,6477761,17,10,11,48,13
26,11,6477761,16,10,9,56,16
27,7,6477761,13,9,9,62,13
28,12,6477761,12,9,10,67,10
29,12,6477761,11,9,10,77,9
30,9,6477761,9,9,10,79,7
31,12,6477761,10,9,9,80,8
32,11,6477761,9,9,9,87,7
33,13,6477761,8,8,10,85,7
34,10,6477761,8,9,10,81,8
35,8,6477761,8,9,9,80,10
36,10,2051622,8,8,11,78,9
37,6,2051622,7,8,11,80,9
38,7,2051622,7,8,11,81,7
39,11,3764767,7,8,11,77,9
40,6,3764767,7,9,11,77,7
41,12,3764767,7,9,10,73,7
42,10,3764767,6,9,10,74,9
43,10,3764767,6,8,11,69,9
44,12,3764767,6,8,11,67,7
45,13,3764767,7,8,11,59,8
46,14,0527463,7,9,11,58,9
47,11,0527463,7,9,11,54,13
48,12,0527463,7,9,11,52,11
